Women autonomy,Employment,Household wealth,Education,Region of residence,Household structure,Religion,Age,Place of residence,Marital status,Number of children living,Survey_Weight,PSU_Cluster,Survey_Strata
Yes,no,richer,secondary,bas-uele,Monogamous,protestant,25-29,rural,married,1-2,0.188765,257,11
Yes,yes,middle,primary,bas-uele,Polygamous,protestant,25-29,rural,living with partner,1-2,0.188765,257,11
Yes,yes,poorest,no education,bas-uele,Polygamous,protestant,30-34,rural,living with partner,3-4,0.188765,257,11
Yes,no,poorer,no education,bas-uele,Monogamous,kimbanguiste,35-39,rural,married,5+,0.188765,257,11
Yes,no,middle,no education,bas-uele,Don't know,non denominational/charismatic/apostolic,30-34,rural,married,3-4,0.188765,257,11
No,no,middle,secondary,bas-uele,Monogamous,non denominational/charismatic/apostolic,25-29,rural,married,1-2,0.188765,257,11
Yes,yes,poorest,primary,bas-uele,Don't know,protestant,40-44,rural,living with partner,5+,0.188765,257,11
No,yes,middle,secondary,bas-uele,Monogamous,catholic,30-34,rural,living with partner,1-2,0.188765,257,11
No,yes,poorer,secondary,bas-uele,Monogamous,catholic,30-34,rural,married,1-2,0.188765,257,11
Yes,yes,poorer,primary,bas-uele,Polygamous,catholic,45-49,rural,living with partner,1-2,0.188765,257,11
Yes,yes,poorer,secondary,bas-uele,Monogamous,catholic,20-24,rural,living with partner,1-2,0.188765,257,11
Yes,yes,poorer,secondary,bas-uele,Don't know,protestant,25-29,rural,married,3-4,0.188765,257,11
Yes,yes,poorer,primary,bas-uele,Monogamous,protestant,40-44,rural,living with partner,5+,0.188765,257,11
No,yes,middle,primary,bas-uele,Monogamous,non denominational/charismatic/apostolic,20-24,rural,married,3-4,0.188765,257,11
No,no,poorer,primary,bas-uele,Don't know,non denominational/charismatic/apostolic,20-24,rural,living with partner,1-2,0.188765,257,11
Yes,yes,middle,primary,bas-uele,Monogamous,non denominational/charismatic/apostolic,35-39,rural,living with partner,5+,0.188765,257,11
Yes,yes,middle,primary,bas-uele,Monogamous,protestant,35-39,rural,living with partner,1-2,0.188765,257,11
Yes,yes,richer,secondary,bas-uele,Monogamous,catholic,30-34,rural,married,1-2,0.188765,257,11
Yes,no,richer,primary,bas-uele,Monogamous,non denominational/charismatic/apostolic,35-39,rural,married,5+,0.188765,257,11
Yes,yes,poorest,primary,bas-uele,Monogamous,non denominational/charismatic/apostolic,25-29,rural,married,1-2,0.188765,257,11
No,yes,poorer,primary,bas-uele,Monogamous,protestant,20-24,rural,living with partner,3-4,0.188765,257,11
No,yes,middle,secondary,bas-uele,Monogamous,catholic,35-39,rural,living with partner,5+,0.188765,257,11
No,no,richer,secondary,kasaï oriental,Monogamous,non denominational/charismatic/apostolic,20-24,urban,married,0,2.528594,258,49
No,yes,richest,secondary,kasaï oriental,Polygamous,non denominational/charismatic/apostolic,45-49,urban,married,1-2,2.528594,258,49
No,no,richer,primary,kasaï oriental,Polygamous,non denominational/charismatic/apostolic,20-24,urban,married,3-4,2.528594,258,49
Yes,yes,richer,primary,kasaï oriental,Monogamous,animist/traditional religion,35-39,urban,married,5+,2.528594,258,49
No,no,richer,no education,kasaï oriental,Polygamous,non denominational/charismatic/apostolic,35-39,urban,married,5+,2.528594,258,49
No,yes,richer,secondary,kasaï oriental,Monogamous,non denominational/charismatic/apostolic,30-34,urban,married,5+,2.528594,258,49
No,no,richer,secondary,kasaï oriental,Monogamous,non denominational/charismatic/apostolic,15-19,urban,married,1-2,2.528594,258,49
No,no,richer,primary,kasaï oriental,Polygamous,non denominational/charismatic/apostolic,35-39,urban,married,5+,2.528594,258,49
Yes,no,richer,secondary,kasaï oriental,Polygamous,catholic,40-44,urban,married,5+,2.528594,258,49
No,yes,richer,primary,kasaï oriental,Polygamous,non denominational/charismatic/apostolic,30-34,urban,married,3-4,2.528594,258,49
Yes,yes,richer,secondary,kasaï oriental,Monogamous,non denominational/charismatic/apostolic,25-29,urban,married,3-4,2.528594,258,49
No,yes,richer,secondary,kasaï oriental,Polygamous,non denominational/charismatic/apostolic,35-39,urban,married,3-4,2.528594,258,49
Yes,yes,richer,secondary,kasaï oriental,Monogamous,non denominational/charismatic/apostolic,30-34,urban,married,5+,2.528594,258,49
Yes,yes,richer,secondary,kasaï oriental,Monogamous,non denominational/charismatic/apostolic,25-29,urban,married,3-4,2.528594,258,49
No,no,richer,secondary,kasaï oriental,Polygamous,non denominational/charismatic/apostolic,20-24,urban,married,1-2,2.528594,258,49
No,yes,richer,primary,kasaï oriental,Monogamous,non denominational/charismatic/apostolic,30-34,urban,married,5+,2.528594,258,49
Yes,yes,richer,secondary,kasaï oriental,Polygamous,non denominational/charismatic/apostolic,45-49,urban,married,5+,2.528594,258,49
No,yes,richest,secondary,kasaï oriental,Monogamous,non denominational/charismatic/apostolic,25-29,urban,married,1-2,2.528594,258,49
No,yes,richer,primary,kasaï oriental,Monogamous,non denominational/charismatic/apostolic,35-39,urban,married,5+,2.528594,258,49
Yes,no,richer,secondary,kasaï oriental,Monogamous,non denominational/charismatic/apostolic,35-39,urban,married,5+,2.528594,258,49
No,yes,richer,primary,kasaï oriental,Polygamous,non denominational/charismatic/apostolic,30-34,urban,married,1-2,2.528594,258,49
Yes,yes,richer,secondary,kasaï oriental,Monogamous,non denominational/charismatic/apostolic,30-34,urban,married,3-4,2.528594,258,49
Yes,no,richer,secondary,kasaï oriental,Monogamous,non denominational/charismatic/apostolic,15-19,urban,married,0,2.528594,258,49
No,yes,richer,secondary,kasaï oriental,Polygamous,non denominational/charismatic/apostolic,35-39,urban,married,5+,2.528594,258,49
Yes,yes,richer,secondary,kasaï oriental,Polygamous,non denominational/charismatic/apostolic,30-34,urban,married,3-4,2.528594,258,49
No,yes,richer,secondary,kasaï oriental,Monogamous,non denominational/charismatic/apostolic,20-24,urban,married,1-2,2.528594,258,49
Yes,yes,middle,secondary,sud-kivu,Monogamous,protestant,25-29,rural,married,3-4,0.092356,259,15
No,yes,richer,primary,sud-kivu,Polygamous,non denominational/charismatic/apostolic,35-39,rural,living with partner,5+,0.092356,259,15
No,yes,middle,no education,sud-kivu,Monogamous,protestant,30-34,rural,living with partner,5+,0.092356,259,15
No,no,richer,no education,sud-kivu,Polygamous,protestant,35-39,rural,living with partner,5+,0.092356,259,15
No,yes,middle,primary,sud-kivu,Monogamous,protestant,30-34,rural,living with partner,1-2,0.092356,259,15
No,yes,richer,secondary,sud-kivu,Monogamous,protestant,30-34,rural,married,5+,0.092356,259,15
No,yes,richer,primary,sud-kivu,Polygamous,protestant,30-34,rural,living with partner,5+,0.092356,259,15
Yes,yes,richer,secondary,sud-kivu,Monogamous,non denominational/charismatic/apostolic,30-34,rural,living with partner,5+,0.092356,259,15
Yes,yes,poorer,primary,sud-kivu,Monogamous,protestant,25-29,rural,married,1-2,0.092356,259,15
No,yes,middle,primary,sud-kivu,Monogamous,protestant,40-44,rural,living with partner,5+,0.092356,259,15
Yes,yes,middle,primary,sud-kivu,Monogamous,protestant,20-24,rural,living with partner,1-2,0.092356,259,15
No,no,richer,no education,sud-kivu,Monogamous,protestant,30-34,rural,living with partner,3-4,0.092356,259,15
Yes,yes,middle,no education,sud-kivu,Monogamous,protestant,35-39,rural,living with partner,5+,0.092356,259,15
No,yes,middle,primary,sud-kivu,Monogamous,protestant,30-34,rural,living with partner,5+,0.092356,259,15
No,yes,poorer,primary,sud-kivu,Monogamous,protestant,30-34,rural,married,3-4,0.092356,259,15
Yes,yes,middle,no education,sud-kivu,Monogamous,protestant,35-39,rural,living with partner,5+,0.092356,259,15
Yes,no,middle,no education,sud-kivu,Monogamous,protestant,20-24,rural,living with partner,1-2,0.092356,259,15
Yes,yes,richer,secondary,sud-kivu,Monogamous,protestant,25-29,rural,living with partner,3-4,0.092356,259,15
Yes,yes,middle,no education,sud-kivu,Monogamous,protestant,30-34,rural,living with partner,1-2,0.092356,259,15
No,yes,richer,primary,sud-kivu,Polygamous,muslim,35-39,rural,married,5+,0.092356,259,15
No,yes,richer,secondary,sud-kivu,Monogamous,protestant,25-29,rural,living with partner,3-4,0.092356,259,15
No,yes,middle,secondary,sud-kivu,Monogamous,catholic,20-24,rural,married,1-2,0.092356,259,15
Yes,no,richer,primary,sud-kivu,Polygamous,protestant,30-34,rural,living with partner,3-4,0.092356,259,15
Yes,no,richer,no education,sud-kivu,Monogamous,protestant,25-29,rural,living with partner,3-4,0.092356,259,15
No,yes,richer,secondary,sud-kivu,Monogamous,protestant,30-34,rural,living with partner,5+,0.092356,259,15
No,yes,richer,no education,sud-kivu,Monogamous,protestant,25-29,rural,married,3-4,0.092356,259,15
Yes,yes,middle,no education,sud-kivu,Monogamous,catholic,45-49,rural,married,5+,0.092356,259,15
Yes,yes,richer,secondary,lomami,Polygamous,non denominational/charismatic/apostolic,45-49,urban,married,3-4,1.219546,260,47
No,yes,poorest,secondary,lomami,Polygamous,catholic,25-29,urban,married,3-4,1.219546,260,47
Yes,yes,poorest,primary,lomami,Polygamous,protestant,45-49,urban,married,5+,1.219546,260,47
No,no,poorest,secondary,lomami,Monogamous,protestant,20-24,urban,living with partner,0,1.219546,260,47
No,yes,middle,primary,lomami,Polygamous,catholic,40-44,urban,married,5+,1.219546,260,47
Yes,yes,poorest,primary,lomami,Polygamous,non denominational/charismatic/apostolic,40-44,urban,married,5+,1.219546,260,47
No,yes,poorest,secondary,lomami,Monogamous,non denominational/charismatic/apostolic,20-24,urban,married,1-2,1.219546,260,47
No,no,poorest,secondary,lomami,Monogamous,non denominational/charismatic/apostolic,35-39,urban,married,1-2,1.219546,260,47
No,yes,poorest,primary,lomami,Monogamous,animist/traditional religion,20-24,urban,married,1-2,1.219546,260,47
No,yes,poorest,primary,lomami,Polygamous,non denominational/charismatic/apostolic,45-49,urban,married,5+,1.219546,260,47
No,yes,poorest,primary,lomami,Monogamous,catholic,35-39,urban,married,5+,1.219546,260,47
No,yes,richer,primary,lomami,Monogamous,non denominational/charismatic/apostolic,40-44,urban,married,5+,1.219546,260,47
No,yes,poorest,secondary,lomami,Polygamous,protestant,25-29,urban,married,3-4,1.219546,260,47
No,yes,poorest,secondary,lomami,Monogamous,catholic,20-24,urban,married,3-4,1.219546,260,47
No,yes,poorest,primary,lomami,Monogamous,non denominational/charismatic/apostolic,45-49,urban,married,5+,1.219546,260,47
Yes,yes,poorest,primary,lomami,Monogamous,non denominational/charismatic/apostolic,35-39,urban,married,5+,1.219546,260,47
No,yes,middle,primary,lomami,Monogamous,non denominational/charismatic/apostolic,25-29,urban,married,5+,1.219546,260,47
No,no,middle,secondary,lomami,Monogamous,non denominational/charismatic/apostolic,20-24,urban,married,1-2,1.219546,260,47
Yes,yes,poorer,primary,lomami,Polygamous,catholic,20-24,urban,living with partner,3-4,1.219546,260,47
No,yes,poorest,primary,lomami,Monogamous,non denominational/charismatic/apostolic,40-44,urban,married,5+,1.219546,260,47
No,yes,poorest,secondary,lomami,Polygamous,catholic,30-34,urban,married,5+,1.219546,260,47
No,yes,poorest,secondary,lomami,Monogamous,catholic,35-39,urban,married,5+,1.219546,260,47
No,yes,poorest,secondary,lomami,Polygamous,catholic,40-44,urban,married,5+,1.219546,260,47
No,no,poorest,primary,equateur,Monogamous,non denominational/charismatic/apostolic,15-19,rural,living with partner,1-2,0.49706,261,5
Yes,no,poorest,primary,equateur,Monogamous,non denominational/charismatic/apostolic,45-49,rural,living with partner,5+,0.49706,261,5
Yes,no,poorest,secondary,equateur,Monogamous,non denominational/charismatic/apostolic,20-24,rural,living with partner,1-2,0.49706,261,5
Yes,yes,poorest,secondary,equateur,Monogamous,protestant,45-49,rural,living with partner,5+,0.49706,261,5
Yes,no,poorer,no education,equateur,Monogamous,non denominational/charismatic/apostolic,35-39,rural,living with partner,5+,0.49706,261,5
No,yes,poorest,primary,equateur,Monogamous,non denominational/charismatic/apostolic,40-44,rural,married,5+,0.49706,261,5
No,yes,middle,no education,equateur,Polygamous,protestant,45-49,rural,married,1-2,0.49706,261,5
No,yes,middle,primary,equateur,Polygamous,non denominational/charismatic/apostolic,35-39,rural,married,3-4,0.49706,261,5
Yes,no,poorest,primary,equateur,Monogamous,protestant,30-34,rural,living with partner,3-4,0.49706,261,5
No,yes,poorest,no education,equateur,Monogamous,non denominational/charismatic/apostolic,25-29,rural,living with partner,1-2,0.49706,261,5
No,no,poorest,no education,equateur,Monogamous,protestant,40-44,rural,living with partner,5+,0.49706,261,5
Yes,yes,poorest,primary,equateur,Monogamous,non denominational/charismatic/apostolic,35-39,rural,living with partner,5+,0.49706,261,5
Yes,no,poorer,primary,equateur,Monogamous,non denominational/charismatic/apostolic,40-44,rural,living with partner,5+,0.49706,261,5
Yes,yes,poorest,no education,equateur,Monogamous,protestant,30-34,rural,living with partner,1-2,0.49706,261,5
Yes,yes,poorer,no education,equateur,Monogamous,catholic,35-39,rural,married,1-2,0.49706,261,5
Yes,yes,poorest,primary,equateur,Monogamous,protestant,30-34,rural,living with partner,3-4,0.49706,261,5
Yes,yes,poorest,primary,equateur,Monogamous,non denominational/charismatic/apostolic,25-29,rural,living with partner,5+,0.49706,261,5
No,yes,poorest,no education,equateur,Polygamous,non denominational/charismatic/apostolic,20-24,rural,living with partner,1-2,0.49706,261,5
Yes,no,richer,secondary,equateur,Monogamous,non denominational/charismatic/apostolic,35-39,rural,living with partner,3-4,0.49706,261,5
Yes,no,poorest,primary,equateur,Monogamous,protestant,20-24,rural,living with partner,1-2,0.49706,261,5
Yes,yes,poorest,no education,equateur,Monogamous,non denominational/charismatic/apostolic,40-44,rural,living with partner,3-4,0.49706,261,5
No,no,middle,primary,equateur,Monogamous,protestant,35-39,rural,living with partner,3-4,0.49706,261,5
No,no,poorest,secondary,maniema,Monogamous,non denominational/charismatic/apostolic,15-19,rural,married,0,0.87125,262,16
No,yes,poorer,primary,maniema,Monogamous,no religion,30-34,rural,married,3-4,0.87125,262,16
No,no,poorer,primary,maniema,Monogamous,non denominational/charismatic/apostolic,30-34,rural,married,5+,0.87125,262,16
No,yes,poorest,secondary,maniema,Polygamous,protestant,20-24,rural,married,1-2,0.87125,262,16
No,yes,poorest,no education,maniema,Monogamous,non denominational/charismatic/apostolic,25-29,rural,married,1-2,0.87125,262,16
No,no,poorest,primary,maniema,Monogamous,protestant,30-34,rural,married,5+,0.87125,262,16
No,no,poorer,primary,maniema,Monogamous,non denominational/charismatic/apostolic,35-39,rural,married,3-4,0.87125,262,16
No,yes,middle,no education,maniema,Polygamous,protestant,20-24,rural,married,1-2,0.87125,262,16
No,yes,poorest,primary,maniema,Monogamous,protestant,25-29,rural,married,5+,0.87125,262,16
No,no,poorest,no education,maniema,Monogamous,no religion,30-34,rural,married,3-4,0.87125,262,16
No,yes,middle,primary,maniema,Polygamous,protestant,40-44,rural,married,5+,0.87125,262,16
No,yes,poorer,secondary,maniema,Polygamous,protestant,30-34,rural,married,5+,0.87125,262,16
Yes,yes,poorest,primary,maniema,Monogamous,non denominational/charismatic/apostolic,25-29,rural,living with partner,3-4,0.87125,262,16
No,no,poorest,primary,maniema,Polygamous,protestant,20-24,rural,married,1-2,0.87125,262,16
No,yes,poorer,primary,maniema,Monogamous,non denominational/charismatic/apostolic,25-29,rural,married,1-2,0.87125,262,16
No,no,middle,primary,maniema,Monogamous,non denominational/charismatic/apostolic,15-19,rural,married,1-2,0.87125,262,16
No,yes,poorest,no education,maniema,Monogamous,protestant,35-39,rural,married,0,0.87125,262,16
No,no,middle,primary,maniema,Polygamous,protestant,40-44,rural,married,5+,0.87125,262,16
Yes,no,poorest,secondary,maniema,Monogamous,protestant,30-34,rural,married,3-4,0.87125,262,16
No,no,poorest,secondary,maniema,Polygamous,non denominational/charismatic/apostolic,20-24,rural,married,1-2,0.87125,262,16
No,yes,poorest,primary,maniema,Monogamous,non denominational/charismatic/apostolic,25-29,rural,married,5+,0.87125,262,16
No,yes,poorer,primary,maniema,Monogamous,protestant,30-34,rural,married,3-4,0.87125,262,16
No,no,poorer,primary,maniema,Monogamous,non denominational/charismatic/apostolic,25-29,rural,married,3-4,0.87125,262,16
No,yes,poorest,secondary,maniema,Monogamous,non denominational/charismatic/apostolic,20-24,rural,married,1-2,0.87125,262,16
Yes,no,poorest,no education,maniema,Monogamous,protestant,40-44,rural,married,1-2,0.87125,262,16
No,yes,poorer,primary,maniema,Monogamous,no religion,20-24,rural,married,1-2,0.87125,262,16
No,no,poorest,no education,maniema,Monogamous,protestant,30-34,rural,married,0,0.87125,262,16
No,yes,poorest,secondary,maniema,Polygamous,protestant,25-29,rural,married,3-4,0.87125,262,16
No,no,poorer,secondary,lomami,Monogamous,catholic,20-24,rural,married,1-2,0.274031,263,21
No,no,poorest,no education,lomami,Monogamous,muslim,20-24,rural,living with partner,1-2,0.274031,263,21
No,no,poorer,secondary,lomami,Monogamous,catholic,25-29,rural,married,3-4,0.274031,263,21
No,no,poorest,no education,lomami,Monogamous,non denominational/charismatic/apostolic,30-34,rural,married,5+,0.274031,263,21
No,no,poorest,secondary,lomami,Monogamous,catholic,20-24,rural,living with partner,3-4,0.274031,263,21
No,yes,poorest,secondary,lomami,Monogamous,non denominational/charismatic/apostolic,25-29,rural,married,1-2,0.274031,263,21
No,yes,poorest,primary,lomami,Monogamous,non denominational/charismatic/apostolic,35-39,rural,married,5+,0.274031,263,21
Yes,no,poorest,primary,lomami,Polygamous,catholic,45-49,rural,married,5+,0.274031,263,21
No,yes,poorer,primary,lomami,Monogamous,catholic,20-24,rural,married,3-4,0.274031,263,21
No,yes,poorest,primary,lomami,Monogamous,non denominational/charismatic/apostolic,35-39,rural,married,3-4,0.274031,263,21
Yes,yes,poorest,primary,lomami,Polygamous,non denominational/charismatic/apostolic,25-29,rural,married,3-4,0.274031,263,21
No,yes,poorest,primary,lomami,Polygamous,catholic,40-44,rural,married,5+,0.274031,263,21
No,yes,poorest,no education,lomami,Polygamous,catholic,40-44,rural,married,0,0.274031,263,21
Yes,yes,poorest,primary,lomami,Polygamous,catholic,45-49,rural,married,5+,0.274031,263,21
No,yes,richer,secondary,lomami,Monogamous,non denominational/charismatic/apostolic,20-24,rural,married,3-4,0.274031,263,21
No,yes,poorer,no education,lomami,Monogamous,non denominational/charismatic/apostolic,25-29,rural,married,3-4,0.274031,263,21
No,yes,poorest,secondary,lomami,Monogamous,non denominational/charismatic/apostolic,20-24,rural,married,1-2,0.274031,263,21
No,no,middle,primary,lomami,Polygamous,non denominational/charismatic/apostolic,35-39,rural,married,3-4,0.274031,263,21
No,yes,poorest,primary,lomami,Polygamous,non denominational/charismatic/apostolic,45-49,rural,married,5+,0.274031,263,21
No,yes,poorest,secondary,lomami,Monogamous,non denominational/charismatic/apostolic,30-34,rural,married,3-4,0.274031,263,21
Yes,yes,poorest,primary,lomami,Monogamous,non denominational/charismatic/apostolic,30-34,rural,married,3-4,0.274031,263,21
No,no,poorest,secondary,lomami,Monogamous,non denominational/charismatic/apostolic,20-24,rural,married,1-2,0.274031,263,21
No,yes,poorest,no education,lomami,Polygamous,kimbanguiste,30-34,rural,married,3-4,0.274031,263,21
No,yes,poorest,secondary,lomami,Monogamous,catholic,40-44,rural,married,5+,0.274031,263,21
Yes,yes,poorest,secondary,lomami,Monogamous,catholic,20-24,rural,married,0,0.274031,263,21
Yes,yes,poorest,no education,mai-ndombe,Monogamous,protestant,25-29,rural,married,1-2,0.299566,264,4
Yes,yes,poorest,no education,mai-ndombe,Monogamous,protestant,30-34,rural,married,3-4,0.299566,264,4
Yes,yes,poorest,no education,mai-ndombe,Monogamous,protestant,25-29,rural,married,1-2,0.299566,264,4
No,yes,poorest,secondary,mai-ndombe,Don't know,catholic,20-24,rural,living with partner,0,0.299566,264,4
Yes,yes,poorest,secondary,mai-ndombe,Polygamous,protestant,25-29,rural,married,1-2,0.299566,264,4
Yes,yes,poorest,secondary,mai-ndombe,Monogamous,catholic,20-24,rural,living with partner,0,0.299566,264,4
No,yes,poorest,primary,mai-ndombe,Monogamous,catholic,25-29,rural,married,1-2,0.299566,264,4
Yes,no,poorest,primary,mai-ndombe,Monogamous,non denominational/charismatic/apostolic,35-39,rural,married,3-4,0.299566,264,4
Yes,yes,poorest,no education,mai-ndombe,Monogamous,non denominational/charismatic/apostolic,20-24,rural,married,1-2,0.299566,264,4
Yes,yes,poorest,secondary,mai-ndombe,Monogamous,non denominational/charismatic/apostolic,15-19,rural,married,0,0.299566,264,4
No,no,poorest,primary,mai-ndombe,Monogamous,protestant,35-39,rural,married,1-2,0.299566,264,4
Yes,yes,poorest,secondary,mai-ndombe,Monogamous,catholic,20-24,rural,living with partner,0,0.299566,264,4
No,yes,poorest,no education,mai-ndombe,Polygamous,protestant,30-34,rural,living with partner,3-4,0.299566,264,4
Yes,yes,poorer,no education,mai-ndombe,Monogamous,protestant,35-39,rural,married,5+,0.299566,264,4
Yes,yes,poorest,secondary,mai-ndombe,Monogamous,protestant,20-24,rural,married,1-2,0.299566,264,4
Yes,yes,poorest,no education,mai-ndombe,Monogamous,non denominational/charismatic/apostolic,40-44,rural,married,5+,0.299566,264,4
Yes,no,poorest,no education,mai-ndombe,Polygamous,protestant,35-39,rural,married,1-2,0.299566,264,4
No,no,poorest,no education,mai-ndombe,Monogamous,non denominational/charismatic/apostolic,20-24,rural,living with partner,0,0.299566,264,4
No,no,poorest,no education,mai-ndombe,Polygamous,protestant,30-34,rural,married,5+,0.299566,264,4
Yes,no,poorest,no education,mai-ndombe,Monogamous,protestant,35-39,rural,married,5+,0.299566,264,4
No,yes,poorest,primary,mai-ndombe,Monogamous,non denominational/charismatic/apostolic,15-19,rural,living with partner,0,0.299566,264,4
Yes,yes,poorest,secondary,mai-ndombe,Polygamous,non denominational/charismatic/apostolic,25-29,rural,living with partner,1-2,0.299566,264,4
Yes,yes,poorest,primary,mai-ndombe,Monogamous,non denominational/charismatic/apostolic,25-29,rural,married,5+,0.299566,264,4
Yes,no,poorest,secondary,mai-ndombe,Monogamous,catholic,25-29,rural,married,3-4,0.299566,264,4
Yes,yes,poorest,no education,mai-ndombe,Monogamous,protestant,20-24,rural,married,1-2,0.299566,264,4
Yes,yes,poorer,primary,mongala,Monogamous,catholic,40-44,rural,married,5+,0.183607,265,8
No,no,middle,no education,mongala,Polygamous,protestant,30-34,rural,married,3-4,0.183607,265,8
No,no,poorer,primary,mongala,Monogamous,muslim,20-24,rural,married,1-2,0.183607,265,8
Yes,no,poorest,no education,mongala,Monogamous,catholic,20-24,rural,living with partner,1-2,0.183607,265,8
Yes,no,poorest,primary,mongala,Monogamous,non denominational/charismatic/apostolic,20-24,rural,living with partner,1-2,0.183607,265,8
Yes,yes,poorest,primary,mongala,Monogamous,catholic,40-44,rural,married,3-4,0.183607,265,8
No,yes,middle,primary,mongala,Monogamous,catholic,45-49,rural,married,3-4,0.183607,265,8
No,no,poorer,primary,mongala,Monogamous,catholic,25-29,rural,married,3-4,0.183607,265,8
No,yes,poorest,no education,mongala,Monogamous,protestant,40-44,rural,living with partner,5+,0.183607,265,8
No,no,middle,primary,mongala,Monogamous,protestant,20-24,rural,living with partner,3-4,0.183607,265,8
No,yes,poorest,primary,mongala,Monogamous,muslim,25-29,rural,married,1-2,0.183607,265,8
No,no,poorest,no education,mongala,Polygamous,catholic,25-29,rural,married,3-4,0.183607,265,8
No,yes,poorest,no education,mongala,Monogamous,catholic,35-39,rural,married,5+,0.183607,265,8
No,no,middle,primary,mongala,Monogamous,protestant,15-19,rural,married,1-2,0.183607,265,8
Yes,yes,poorer,primary,mongala,Monogamous,protestant,25-29,rural,married,3-4,0.183607,265,8
No,yes,poorest,primary,nord-kivu,Monogamous,protestant,20-24,rural,living with partner,0,1.147371,266,14
Yes,yes,middle,primary,nord-kivu,Polygamous,catholic,15-19,rural,living with partner,0,1.147371,266,14
Yes,no,poorer,secondary,nord-kivu,Monogamous,protestant,15-19,rural,living with partner,1-2,1.147371,266,14
No,no,poorer,no education,nord-kivu,Polygamous,catholic,30-34,rural,living with partner,1-2,1.147371,266,14
Yes,yes,poorest,primary,nord-kivu,Monogamous,protestant,25-29,rural,living with partner,5+,1.147371,266,14
Yes,yes,poorer,primary,nord-kivu,Monogamous,catholic,15-19,rural,living with partner,1-2,1.147371,266,14
Yes,yes,poorer,primary,nord-kivu,Monogamous,protestant,20-24,rural,living with partner,1-2,1.147371,266,14
Yes,yes,poorer,no education,nord-kivu,Polygamous,protestant,35-39,rural,living with partner,5+,1.147371,266,14
No,yes,middle,secondary,nord-kivu,Monogamous,protestant,25-29,rural,living with partner,1-2,1.147371,266,14
No,no,poorer,primary,nord-kivu,Monogamous,protestant,20-24,rural,married,3-4,1.147371,266,14
Yes,yes,poorer,primary,nord-kivu,Monogamous,protestant,15-19,rural,living with partner,0,1.147371,266,14
Yes,yes,poorest,primary,nord-kivu,Monogamous,protestant,15-19,rural,living with partner,1-2,1.147371,266,14
Yes,yes,poorest,primary,nord-kivu,Monogamous,protestant,40-44,rural,living with partner,5+,1.147371,266,14
Yes,yes,poorer,primary,nord-kivu,Monogamous,protestant,20-24,rural,married,3-4,1.147371,266,14
Yes,yes,poorer,no education,nord-kivu,Monogamous,non denominational/charismatic/apostolic,30-34,rural,living with partner,3-4,1.147371,266,14
Yes,yes,middle,secondary,nord-kivu,Monogamous,protestant,25-29,rural,living with partner,1-2,1.147371,266,14
Yes,yes,middle,primary,nord-kivu,Monogamous,protestant,35-39,rural,married,3-4,1.147371,266,14
Yes,yes,poorest,primary,nord-kivu,Monogamous,protestant,25-29,rural,living with partner,1-2,1.147371,266,14
No,no,middle,primary,nord-kivu,Monogamous,protestant,30-34,rural,married,5+,1.147371,266,14
Yes,yes,poorest,primary,nord-kivu,Monogamous,protestant,45-49,rural,living with partner,5+,1.147371,266,14
No,yes,middle,primary,nord-kivu,Polygamous,catholic,30-34,rural,living with partner,3-4,1.147371,266,14
No,yes,middle,primary,nord-kivu,Monogamous,protestant,20-24,rural,living with partner,3-4,1.147371,266,14
Yes,yes,poorer,no education,nord-kivu,Monogamous,protestant,45-49,rural,living with partner,5+,1.147371,266,14
Yes,yes,poorer,no education,nord-kivu,Monogamous,protestant,40-44,rural,living with partner,5+,1.147371,266,14
No,yes,poorer,secondary,equateur,Polygamous,protestant,20-24,rural,living with partner,0,0.239395,267,5
Yes,yes,poorer,secondary,equateur,Monogamous,catholic,15-19,rural,living with partner,1-2,0.239395,267,5
No,yes,poorest,no education,equateur,Polygamous,catholic,30-34,rural,living with partner,3-4,0.239395,267,5
No,yes,poorer,secondary,equateur,Monogamous,non denominational/charismatic/apostolic,25-29,rural,married,3-4,0.239395,267,5
Yes,yes,richer,primary,equateur,Monogamous,catholic,40-44,rural,married,5+,0.239395,267,5
Yes,yes,middle,primary,equateur,Monogamous,catholic,40-44,rural,married,5+,0.239395,267,5
Yes,yes,poorer,primary,equateur,Monogamous,catholic,45-49,rural,married,5+,0.239395,267,5
Yes,yes,poorest,primary,equateur,Polygamous,protestant,35-39,rural,living with partner,3-4,0.239395,267,5
Yes,no,poorer,primary,equateur,Monogamous,catholic,20-24,rural,living with partner,3-4,0.239395,267,5
Yes,yes,poorer,primary,equateur,Monogamous,catholic,35-39,rural,living with partner,5+,0.239395,267,5
Yes,no,poorer,secondary,equateur,Monogamous,protestant,25-29,rural,living with partner,1-2,0.239395,267,5
Yes,yes,poorer,primary,equateur,Monogamous,catholic,35-39,rural,married,5+,0.239395,267,5
No,no,poorer,secondary,equateur,Monogamous,non denominational/charismatic/apostolic,25-29,rural,living with partner,3-4,0.239395,267,5
No,no,middle,primary,equateur,Polygamous,catholic,35-39,rural,living with partner,5+,0.239395,267,5
Yes,yes,richer,primary,equateur,Monogamous,catholic,25-29,rural,married,1-2,0.239395,267,5
No,yes,poorest,no education,equateur,Monogamous,catholic,20-24,rural,living with partner,1-2,0.239395,267,5
